segment,final_flag,score_version,intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate
老户,DEV-OOS,model_score,低意愿,5,15494,2361,0.1523815670582161
老户,DEV-OOS,model_score,低意愿,6,59990,9417,0.15697616269378228
老户,DEV-OOS,model_score,低意愿,7,12630,2007,0.15890736342042755
老户,DEV-OOS,model_score,中意愿,1,17171,6872,0.400209655815037
老户,DEV-OOS,model_score,中意愿,2,56314,23141,0.41092801079660474
老户,DEV-OOS,model_score,中意愿,3,72188,30306,0.41982046877597384
老户,DEV-OOS,model_score,中意愿,4,98673,42332,0.42901300254375563
老户,DEV-OOS,model_score,中意愿,5,17623,7755,0.44004993474436815
老户,DEV-OOS,model_score,中意愿,6,86081,37476,0.4353573959410323
老户,DEV-OOS,model_score,中意愿,7,28571,12991,0.45469182037730566
老户,DEV-OOS,model_score,高意愿,1,13732,10753,0.7830614622778911
老户,DEV-OOS,model_score,高意愿,2,52667,42211,0.8014696109518294
老户,DEV-OOS,model_score,高意愿,3,70509,56511,0.8014721524911713
老户,DEV-OOS,model_score,高意愿,4,100099,80482,0.8040240162239383
老户,DEV-OOS,model_score,高意愿,5,17902,14227,0.7947156742263434
老户,DEV-OOS,model_score,高意愿,6,87695,69348,0.790786247790638
