segment,final_flag,score_version,decile,decile_int,n_samples,pct,bad,bad_rate,score_min,score_max,lower_bound,upper_bound
全客群,DEV,gcard_v5,004,4,359994,0.09999833333333333,2180,0.0060556564831636085,0.007361559197306633,0.012307525612413883,"(0.007362, 0.012308]","(0.007362, 0.012308]"
全客群,DEV,gcard_v5,003,3,360007,0.10000194444444445,1307,0.0036304849627923903,0.005034018773585558,0.007361486088484526,"(0.005034, 0.007361]","(0.005034, 0.007361]"
全客群,DEV,gcard_v5,002,2,356448,0.09901333333333333,641,0.0017982987700870814,0.003011823631823063,0.005033992230892181,"(0.003012, 0.005034]","(0.003012, 0.005034]"
全客群,DEV,gcard_v5,001,1,363552,0.10098666666666667,274,0.0007536748525657953,0.0016040656482800841,0.0030116704292595387,"(-inf, 0.003012]","(0.001604, 0.003012]"
全客群,DEV,gcard_v6,010,10,360000,0.1,277960,0.7721111111111111,0.5595128586818362,0.976804776257971,"(0.559513, 0.976805]","(0.559513, +inf)"
全客群,DEV,gcard_v6,009,9,360000,0.1,153058,0.4251611111111111,0.2916825093995945,0.5595115609421465,"(0.291683, 0.559512]","(0.291683, 0.559512]"
全客群,DEV,gcard_v6,008,8,360000,0.1,72830,0.20230555555555554,0.1360076779341965,0.2916822012812874,"(0.136008, 0.291682]","(0.136008, 0.291682]"
全客群,DEV,gcard_v6,007,7,360000,0.1,28931,0.08036388888888889,0.0551994608816931,0.1360070213833691,"(0.055199, 0.136007]","(0.055199, 0.136007]"
全客群,DEV,gcard_v6,006,6,360000,0.1,9927,0.027575,0.0240998787291337,0.0551992765101736,"(0.024100, 0.055199]","(0.024100, 0.055199]"
全客群,DEV,gcard_v6,005,5,360000,0.1,3828,0.010633333333333333,0.0126983112080427,0.0240997286231041,"(0.012698, 0.024100]","(0.012698, 0.024100]"
全客群,DEV,gcard_v6,004,4,360000,0.1,1969,0.005469444444444444,0.0089325933415769,0.0126982941057365,"(0.008933, 0.012698]","(0.008933, 0.012698]"
全客群,DEV,gcard_v6,003,3,360000,0.1,1190,0.0033055555555555555,0.0065807333841937,0.0089325896058905,"(0.006581, 0.008933]","(0.006581, 0.008933]"
全客群,DEV,gcard_v6,002,2,360000,0.1,601,0.0016694444444444445,0.0047298684116022,0.0065807185682356,"(0.004730, 0.006581]","(0.004730, 0.006581]"
全客群,DEV,gcard_v6,001,1,360000,0.1,323,0.0008972222222222222,0.0017432747333721,0.004729867880767,"(-inf, 0.004730]","(0.001743, 0.004730]"
全客群,DEV-OOS,model_score,010,10,360000,0.1,291912,0.8108666666666666,0.6233626863255569,0.9985227134089499,"(0.623363, 0.998523]","(0.623363, +inf)"
全客群,DEV-OOS,model_score,009,9,360000,0.1,176495,0.4902638888888889,0.34242063954883273,0.6233619667244212,"(0.342421, 0.623362]","(0.342421, 0.623362]"
全客群,DEV-OOS,model_score,008,8,360000,0.1,90899,0.2524972222222222,0.1577624869956023,0.3424198525900046,"(0.157762, 0.342420]","(0.157762, 0.342420]"
全客群,DEV-OOS,model_score,007,7,360000,0.1,40535,0.11259722222222222,0.06068033723024593,0.1577620852372577,"(0.060680, 0.157762]","(0.060680, 0.157762]"
全客群,DEV-OOS,model_score,006,6,360000,0.1,13532,0.03758888888888889,0.018083750979539452,0.06068021238451261,"(0.018084, 0.060680]","(0.018084, 0.060680]"
全客群,DEV-OOS,model_score,005,5,360000,0.1,5215,0.014486111111111111,0.009047149609298958,0.018083750344555644,"(0.009047, 0.018084]","(0.009047, 0.018084]"
全客群,DEV-OOS,model_score,004,4,360000,0.1,2786,0.007738888888888889,0.004796060447037895,0.009047147669085523,"(0.004796, 0.009047]","(0.004796, 0.009047]"
全客群,DEV-OOS,model_score,003,3,359997,0.09999916666666667,1639,0.00455281571790876,0.003424433612025703,0.004796055922787765,"(0.003424, 0.004796]","(0.003424, 0.004796]"
