segment,final_flag,score_version,intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate
流失户,DEV-OOS,gcard_v5,高意愿,3,101278,7584,0.0748829953198128
流失户,DEV-OOS,gcard_v5,高意愿,4,66154,4360,0.06590682347250355
流失户,DEV-OOS,gcard_v5,高意愿,5,133467,9447,0.0707815415046416
流失户,DEV-OOS,gcard_v5,高意愿,6,259750,18095,0.06966313763233879
流失户,DEV-OOS,gcard_v5,高意愿,7,105166,6648,0.0632143468421353
流失户,DEV-OOS,gcard_v5,低意愿,合计,771260,1372,0.0017789072426937739
流失户,DEV-OOS,gcard_v5,中意愿,合计,770327,5178,0.0067218207332730125
流失户,DEV-OOS,gcard_v5,高意愿,合计,770793,55302,0.07174688924263713
流失户,DEV-OOS,gcard_v5,合计,1,36861,3284,0.08909145166978649
流失户,DEV-OOS,gcard_v5,合计,2,92292,6155,0.06669050405235556
流失户,DEV-OOS,gcard_v5,合计,3,162755,8164,0.05016128536757703
流失户,DEV-OOS,gcard_v5,合计,4,133714,4851,0.03627892367291383
流失户,DEV-OOS,gcard_v5,合计,5,325973,10826,0.033211339589475204
流失户,DEV-OOS,gcard_v5,合计,6,1005988,20957,0.020832256448387057
流失户,DEV-OOS,gcard_v5,合计,7,554797,7615,0.013725741126934716
流失户,DEV-OOS,gcard_v6,低意愿,1,949,2,0.002107481559536354
流失户,DEV-OOS,gcard_v6,低意愿,2,1964,5,0.0025458248472505093
流失户,DEV-OOS,gcard_v6,低意愿,3,12907,36,0.0027891841636321375
流失户,DEV-OOS,gcard_v6,低意愿,4,21377,50,0.0023389624362632738
流失户,DEV-OOS,gcard_v6,低意愿,5,56952,169,0.0029674111532518614
流失户,DEV-OOS,gcard_v6,低意愿,6,370335,668,0.001803772260250854
流失户,DEV-OOS,gcard_v6,低意愿,7,306310,331,0.0010806046162384513
流失户,DEV-OOS,gcard_v6,中意愿,1,2245,15,0.0066815144766146995
流失户,DEV-OOS,gcard_v6,中意愿,2,14102,107,0.00758757623032194
流失户,DEV-OOS,gcard_v6,中意愿,3,44271,379,0.008560908947166317
流失户,DEV-OOS,gcard_v6,中意愿,4,45850,360,0.007851690294438387
流失户,DEV-OOS,gcard_v6,中意愿,5,133508,1078,0.008074422506516464
流失户,DEV-OOS,gcard_v6,中意愿,6,383029,2314,0.006041318020306556
流失户,DEV-OOS,gcard_v6,中意愿,7,147788,706,0.004777113162097058
流失户,DEV-OOS,gcard_v6,高意愿,1,33667,3267,0.09703864318175068
流失户,DEV-OOS,gcard_v6,高意愿,2,76226,6043,0.0792774119066985
流失户,DEV-OOS,gcard_v6,高意愿,3,105577,7749,0.0733966678348504
流失户,DEV-OOS,gcard_v6,高意愿,4,66487,4441,0.0667950125588461
流失户,DEV-OOS,gcard_v6,高意愿,5,135513,9579,0.07068694516393262
流失户,DEV-OOS,gcard_v6,高意愿,6,252624,17975,0.07115317626195453
流失户,DEV-OOS,gcard_v6,高意愿,7,100699,6578,0.06532338950734366
流失户,DEV-OOS,gcard_v6,低意愿,合计,770794,1261,0.001635975370851356
流失户,DEV-OOS,gcard_v6,中意愿,合计,770793,4959,0.0064336339328457835
流失户,DEV-OOS,gcard_v6,高意愿,合计,770793,55632,0.07217501975238488
流失户,DEV-OOS,gcard_v6,合计,1,36861,3284,0.08909145166978649
流失户,DEV-OOS,gcard_v6,合计,2,92292,6155,0.06669050405235556
流失户,DEV-OOS,gcard_v6,合计,3,162755,8164,0.05016128536757703
流失户,DEV-OOS,gcard_v6,合计,4,133714,4851,0.03627892367291383
流失户,DEV-OOS,gcard_v6,合计,5,325973,10826,0.033211339589475204
流失户,DEV-OOS,gcard_v6,合计,6,1005988,20957,0.020832256448387057
流失户,DEV-OOS,gcard_v6,合计,7,554797,7615,0.013725741126934716
